,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
142231,Maharashtra Circle,Nagpur Region,Nagpur Moffusil Division,Navegaon Bandh S.O,441702,PO,Delivery,GONDIA,MAHARASHTRA,20.924553,80.089275
142232,Maharashtra Circle,Nagpur Region,Nagpur Moffusil Division,Soundad S.O,441806,PO,Delivery,GONDIA,MAHARASHTRA,21.0789722,80.0907778
142247,Maharashtra Circle,Pune Region,Pune City East Division,Infotech  Park (Hinjawadi) S.O,411057,PO,Delivery,PUNE,MAHARASHTRA,18.52047,73.300211
142248,Maharashtra Circle,Pune Region,Pune City East Division,Lohogaon S.O,411047,PO,Delivery,PUNE,MAHARASHTRA,18.59755556,73.92691667
142249,Maharashtra Circle,Pune Region,Pune City East Division,Nehrunagar S.O (Pune),411018,PO,Non Delivery,PUNE,MAHARASHTRA,18.622822,73.809184
142250,Maharashtra Circle,Pune Region,Pune City East Division,Rupeenagar S.O,411062,PO,Delivery,PUNE,MAHARASHTRA,18.6532222,73.7679167
142283,Maharashtra Circle,Pune Region,Satara Division,Ogalewadi S.O,415105,PO,Delivery,SATARA,MAHARASHTRA,17.5903611,74.4530556
142284,Maharashtra Circle,Pune Region,Satara Division,Ond S.O,415111,PO,Delivery,SATARA,MAHARASHTRA,17.5903611,74.4530556
142285,Maharashtra Circle,Pune Region,Satara Division,Pusesavali S.O,415512,PO,Delivery,SATARA,MAHARASHTRA,17.4619722,74.3160278
142286,Maharashtra Circle,Pune Region,Satara Division,Supane S.O,415114,PO,Delivery,SATARA,MAHARASHTRA,17.5903611,74.4530556
142287,Maharashtra Circle,Pune Region,Satara Division,Vaduj Town S.O,415506,PO,Non Delivery,SATARA,MAHARASHTRA,17.5977222,74.4537778
142288,Maharashtra Circle,Pune Region,Satara Division,Yashvantnagar S.O,415115,PO,Delivery,SATARA,MAHARASHTRA,17.3604167,74.1595833
142289,Maharashtra Circle,Pune Region,Satara Division,Bhuinj S.O,415515,PO,Delivery,SATARA,MAHARASHTRA,17.8759722,73.9684167
142298,Maharashtra Circle,Pune Region,Pune Moffusil Division,Velhe S.O,412212,PO,Delivery,PUNE,MAHARASHTRA,19.5236,73.8478
142299,Maharashtra Circle,Pune Region,Pune Moffusil Division,Shiroli B K S.O,410511,PO,Delivery,PUNE,MAHARASHTRA,19.187984,73.918343
142300,Maharashtra Circle,Pune Region,Pune Moffusil Division,Shivnagar S.O,413116,PO,Delivery,PUNE,MAHARASHTRA,18.52043,73.856744
142301,Maharashtra Circle,Mumbai Region,Mumbai City South Division,Secretariate SO,400032,PO,Non Delivery,MUMBAI,MAHARASHTRA,18.928493,72.830215
142318,Maharashtra Circle,Mumbai Region,Mumbai City South Division,VWTC SO,400005,PO,Non Delivery,MUMBAI,MAHARASHTRA,18.9146667,72.8179722
142324,Maharashtra Circle,Pune Region,Satara Division,Dhebewadi S.O,415112,PO,Delivery,SATARA,MAHARASHTRA,17.2379167,73.9576389
142325,Maharashtra Circle,Pune Region,Satara Division,Kale S.O (Satara),415104,PO,Delivery,SATARA,MAHARASHTRA,17.5903611,74.4530556
142326,Maharashtra Circle,Pune Region,Satara Division,Mhasvad S.O,415509,PO,Delivery,SATARA,MAHARASHTRA,17.6350556,74.7797222
142327,Maharashtra Circle,Pune Region,Satara Division,Tarale S.O,415014,PO,Delivery,SATARA,MAHARASHTRA,17.4979722,73.9800556
